2019,,,,
"Клиника эстетической стоматологии ""Совершенство""",,,,
код,Наименование,акция,цена,срок
Лечение кариеса,,,,
,Анестезия,,400 ₽,
,Профессиональная гигиена (ультразвук + покрытие фтором+ скайс),2 100 ₽,2 100 ₽,
,Профессиональная гигиена - Айр Флоу (Air-flow),,1 800 ₽,
,Лечение начального кариеса Filtek Ultimate (США),,3 100 ₽,14-21
,Лечение среднего кариеса Filtek Ultimate (США),,3 900 ₽,14-21
,Лечение глубокого кариеса Filtek Ultimate (США),,4 600 ₽,14-21
,Пломбирование Vitrimer,,2 100 ₽,
,Восстановление зуба  после эндодонтического лечения (под коронку),,2 500 ₽,
,Восстановление с использованием Стекловолоконного штифта,,3 000 ₽,
,Герметизация фиссур (Фиссурит),,1 500 ₽,
,Художественная реставрация (1 зуб) Композитный винир,,7 900 ₽,
,Эндодонтическое лечение пульпита ( без пломбы):,,,
,  Лечение пульпита (1 канал),,4 900 ₽,14-21
,  Лечение пульпита (2 канала),,6 100 ₽,
,  Лечение пульпита (3 канала),,7 900 ₽,
,  Лечение пульпита (4 канала),,8 300 ₽,
,Лечение периодонтита:,,,
,Лечение периодонтита (1 канал) за каждое посещение ,,4 500 ₽,
,Лечение периодонтита (2 канала),,6 000 ₽,
,Лечение периодонтита (3 канала),,7 700 ₽,
,Лечение периодонтита (4 канала),,9 000 ₽,
,Распломбирование канала простая,,1 000 ₽,
,Распломбирование канала сложная,,2 000 ₽,
,"Заполнение корневого канала ""Каласепт""",,900 ₽,
,Извлечение инородного тела из корневого канала,,1 000 ₽,14-21
,Наложение коффердама,,600 ₽,14-21
,Временная повязка Clip,,400 ₽,14-21
,Наложение девитализирующей пасты,,900 ₽,14-21
,Повторный прием,,400 ₽,
,Чтение Рентгеновского снимка,,200 ₽,-
,Отбеливание:,,,-
,Отбеливание зубов Beyond Polus (за 2 челюсти),11 900 ₽,17 000 ₽,
,Комплекс домашнего отбеливания+ каппы,,11 000 ₽,
,Гель для домашнего отбеливания,,5 000 ₽,
,Каппы для отбеливания 1 шт,,4 500 ₽,